MatchFk,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,red_p1,red_p2,red_p3,red_p4,red_p5,result,rank_fk,rank_name,Patch
EUW1_7570039153,61,116,93,63,122,28,135,79,59,20,0,9,Grandmaster,15.20.719.545
EUW1_7569991660,114,52,14,10,65,98,179,2,58,53,0,9,Grandmaster,15.20.719.545
EUW1_7565976370,3,191,5,32,56,71,116,79,63,101,1,9,Grandmaster,15.20.717.2831
EUW1_7571887168,128,186,103,59,94,112,73,33,77,143,0,9,Grandmaster,15.20.719.545
EUW1_7571874057,139,146,129,59,90,28,116,165,63,123,1,9,Grandmaster,15.20.719.545
EUW1_7571619677,136,116,1,93,132,61,100,24,155,101,1,9,Grandmaster,15.20.719.545
EUW1_7571559084,139,170,165,63,93,162,73,33,10,143,0,9,Grandmaster,15.20.719.545
EUW1_7571916398,139,100,89,155,82,162,170,1,183,4,1,9,Grandmaster,15.20.719.545
EUW1_7571914907,43,173,172,63,18,88,73,99,22,53,1,9,Grandmaster,15.20.719.545
EUW1_7571908367,139,146,68,36,15,181,52,77,63,152,0,9,Grandmaster,15.20.719.545
EUW1_7571904924,139,173,185,63,86,61,151,93,10,53,0,9,Grandmaster,15.20.719.545
EUW1_7571767055,139,6,190,58,15,46,135,181,32,86,1,9,Grandmaster,15.20.719.545
EUW1_7571659959,182,135,181,26,103,28,110,186,93,132,1,9,Grandmaster,15.20.719.545
EUW1_7571617278,28,179,147,176,93,112,97,111,63,132,0,9,Grandmaster,15.20.719.545
EUW1_7571500595,88,55,68,10,20,139,33,181,32,65,0,9,Grandmaster,15.20.719.545
EUW1_7571459700,139,151,49,10,65,127,108,13,59,103,0,9,Grandmaster,15.20.719.545
EUW1_7570856823,110,131,14,27,101,38,46,146,22,53,1,9,Grandmaster,15.20.719.545
EUW1_7570773890,185,47,111,63,103,139,173,68,9,94,0,9,Grandmaster,15.20.719.545
EUW1_7570719344,139,29,49,63,115,24,121,186,140,143,0,9,Grandmaster,15.20.719.545
EUW1_7570677146,139,135,2,49,144,121,47,147,85,101,0,9,Grandmaster,15.20.719.545
EUW1_7571265694,24,135,168,22,123,5,100,147,183,105,1,9,Grandmaster,15.20.719.545
EUW1_7571210857,5,126,105,183,103,81,29,24,58,143,0,9,Grandmaster,15.20.719.545
EUW1_7571159371,164,185,40,183,94,56,170,129,106,105,0,9,Grandmaster,15.20.719.545
EUW1_7571133572,163,105,165,58,15,128,170,79,85,103,1,9,Grandmaster,15.20.719.545
EUW1_7571087951,2,31,116,160,86,180,126,129,140,105,0,9,Grandmaster,15.20.719.545
EUW1_7570877511,38,121,1,155,4,139,135,146,22,105,1,9,Grandmaster,15.20.719.545
EUW1_7570686954,182,105,27,63,167,112,29,180,96,122,0,9,Grandmaster,15.20.719.545
EUW1_7570630937,164,116,40,63,103,13,131,155,183,105,0,9,Grandmaster,15.20.719.545
EUW1_7570597691,181,170,33,27,105,61,81,99,106,122,1,9,Grandmaster,15.20.719.545
EUW1_7570389643,88,45,111,106,122,56,116,155,145,105,1,9,Grandmaster,15.20.719.545
EUW1_7570276822,5,100,104,163,105,125,170,57,12,101,1,9,Grandmaster,15.20.719.545
EUW1_7570238130,134,70,1,140,86,0,186,146,59,105,0,9,Grandmaster,15.20.719.545
EUW1_7570198767,5,170,146,187,79,42,81,40,10,105,0,9,Grandmaster,15.20.719.545
EUW1_7570930487,136,17,14,183,86,117,179,13,9,152,1,9,Grandmaster,15.20.719.545
EUW1_7570825475,5,170,14,183,115,38,74,89,140,143,1,9,Grandmaster,15.20.719.545
EUW1_7570809518,75,100,67,10,154,138,35,14,36,65,0,9,Grandmaster,15.20.719.545
EUW1_7570795789,136,113,188,59,154,43,186,49,183,65,1,9,Grandmaster,15.20.719.545
EUW1_7569781084,138,170,68,63,104,56,186,29,106,34,1,9,Grandmaster,15.20.719.545
EUW1_7569761254,0,37,180,183,153,113,55,14,77,18,1,9,Grandmaster,15.20.719.545
EUW1_7569753610,139,29,116,63,144,57,191,14,32,103,1,9,Grandmaster,15.20.719.545
EUW1_7569736194,182,66,177,36,53,51,105,14,10,144,0,9,Grandmaster,15.20.719.545
EUW1_7569737960,128,55,14,160,53,5,116,68,59,94,1,9,Grandmaster,15.20.719.545
EUW1_7569725376,100,141,14,142,18,125,55,57,160,86,1,9,Grandmaster,15.20.719.545
EUW1_7568971129,56,170,14,145,103,31,45,49,180,15,0,9,Grandmaster,15.20.719.545
EUW1_7568922755,56,170,14,167,103,57,66,181,176,82,1,9,Grandmaster,15.20.719.545
EUW1_7568870813,51,33,93,130,152,172,116,14,10,86,1,9,Grandmaster,15.20.719.545
EUW1_7568842609,44,73,155,191,15,31,179,49,22,87,0,9,Grandmaster,15.20.719.545
EUW1_7568818356,28,146,39,59,103,56,29,14,183,154,0,9,Grandmaster,15.20.719.545
EUW1_7571563658,61,29,2,176,118,0,107,111,155,123,1,9,Grandmaster,15.20.719.545
EUW1_7571503127,128,73,79,63,103,161,100,49,155,132,1,9,Grandmaster,15.20.719.545
EUW1_7570875141,23,107,40,32,132,138,173,155,85,146,1,9,Grandmaster,15.20.719.545
EUW1_7570834354,42,156,188,63,53,5,47,1,27,15,1,9,Grandmaster,15.20.719.545
EUW1_7570763206,57,170,33,48,113,5,179,1,183,135,1,9,Grandmaster,15.20.719.545
EUW1_7570763511,61,146,46,22,101,138,55,111,142,189,1,9,Grandmaster,15.20.719.545
EUW1_7570512578,164,179,99,9,87,136,29,180,36,105,0,9,Grandmaster,15.20.719.545
EUW1_7569587407,69,139,88,155,133,46,29,186,163,99,1,9,Grandmaster,15.20.719.545
EUW1_7569551166,125,151,40,63,99,75,29,190,176,86,0,9,Grandmaster,15.20.719.545
EUW1_7569497918,129,116,117,58,87,128,151,26,63,122,1,9,Grandmaster,15.20.719.545
EUW1_7569455683,28,34,68,63,113,71,105,27,22,15,0,9,Grandmaster,15.20.719.545
EUW1_7569359765,110,73,1,27,53,125,97,8,63,105,0,9,Grandmaster,15.20.719.545
