TeamID,MatchFk,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
163985,KR_8014983781,63,26,412,31,86,516,41,67,81,121,0,0,0,4,68,0,0,0,1,71,0,1
163986,KR_8014971516,26,235,902,223,136,103,50,161,105,157,0,0,0,0,31,0,0,0,2,35,1,0
163987,KR_8013589922,45,799,55,164,901,98,79,202,112,27,0,0,0,2,58,0,0,0,4,70,1,0
163988,KR_8019229552,39,11,55,804,201,23,106,238,145,142,0,0,1,2,23,0,1,1,1,6,0,1
163989,KR_8016222828,106,5,103,145,902,266,11,14,4,85,0,1,1,3,29,1,0,3,10,42,1,0
163990,KR_8016166532,777,11,799,901,12,904,427,112,96,517,0,1,3,3,34,0,0,0,1,24,0,1
163991,KR_8015680802,777,517,157,429,432,875,11,58,81,111,0,1,3,10,46,0,0,0,0,21,0,1
163992,KR_8015562725,86,11,1,523,53,777,517,238,236,35,0,0,2,14,55,2,0,1,8,57,0,1
163993,KR_8014344666,67,54,61,800,57,19,11,777,81,17,0,1,1,1,19,0,0,2,6,23,1,0
163994,KR_8011714506,17,54,18,145,111,51,11,38,21,117,0,0,2,0,8,0,1,0,2,15,1,0
163995,KR_8011052382,799,64,777,21,54,35,5,21,145,80,1,1,2,6,38,0,0,1,5,33,1,0
163996,KR_8009308717,266,19,26,18,235,901,11,711,360,238,1,1,1,10,32,0,0,2,2,24,0,1
163997,KR_8009253455,901,11,90,804,350,122,126,950,145,350,1,1,1,9,33,1,0,3,5,28,0,1
163998,KR_8003504547,80,35,23,145,98,777,516,10,7,17,0,1,0,6,21,0,0,2,10,32,1,0
163999,KR_8003384692,74,78,268,81,518,10,35,268,51,902,0,0,0,0,1,0,0,0,0,0,0,1
164000,KR_8003353501,54,5,4,51,99,10,35,142,236,350,0,0,0,1,8,0,0,1,10,29,1,0
164001,KR_8003310550,10,62,131,81,7,777,11,238,81,555,1,0,1,11,31,0,1,2,5,32,0,1
164002,KR_8003265630,74,80,157,101,412,904,19,517,523,147,0,1,0,5,32,1,0,3,10,31,1,0
164003,KR_8002318167,92,11,112,22,17,58,202,131,222,80,1,0,1,8,44,0,0,3,14,59,1,0
164004,KR_8002250819,75,11,103,81,53,122,54,777,221,75,0,0,0,0,13,0,1,2,4,17,1,0
164005,KR_7997770648,904,35,3,360,350,122,11,893,236,223,0,0,0,0,7,0,1,2,7,17,1,0
164006,KR_7997688319,904,126,238,236,12,68,11,34,21,89,0,0,1,5,42,1,0,3,11,55,1,0
164007,KR_7997630546,904,11,103,523,517,122,35,64,236,63,1,1,3,11,38,0,0,0,1,19,0,1
164008,KR_8018664132,897,80,112,51,14,420,77,61,18,60,1,1,3,9,42,0,0,1,2,24,0,1
164009,KR_8018649227,234,19,61,523,223,266,102,84,42,117,0,1,2,4,40,0,0,2,4,27,0,1
164010,KR_8018630607,58,234,246,901,223,897,104,517,895,53,0,1,1,7,34,0,0,2,1,15,0,1
164011,KR_8018622093,420,126,777,236,201,122,58,103,21,111,0,0,1,11,38,0,0,2,2,14,0,1
164012,KR_8018602055,157,20,103,895,497,32,266,517,236,350,0,0,0,1,28,0,0,3,11,59,1,0
164013,KR_8016402461,24,11,112,145,53,86,30,777,804,117,0,1,1,4,33,0,0,0,0,11,0,1
164014,KR_8016347633,887,421,103,150,111,11,876,142,81,43,0,1,0,6,40,1,0,3,4,44,1,0
164015,KR_8015021417,23,427,91,110,60,238,876,80,51,516,0,0,0,5,37,1,1,3,10,54,1,0
164016,KR_8014893251,5,121,91,236,412,36,126,84,804,555,2,1,5,11,71,0,0,1,6,63,0,1
164017,KR_8014856907,904,11,80,145,120,114,234,55,360,53,2,0,1,6,30,0,0,2,6,30,0,1
164018,KR_8014834740,126,62,91,42,111,54,517,13,145,518,0,0,2,2,27,0,1,2,6,37,1,0
164019,KR_8005258354,85,141,202,22,35,82,9,38,901,26,0,1,3,6,39,1,0,2,9,51,1,0
164020,KR_8005206590,266,121,38,498,201,39,950,13,81,147,0,1,1,2,22,0,0,3,9,33,1,0
