gameid,league,patch,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,result,red_p1,red_p2,red_p3,red_p4,red_p5
11738-11738_game_5,LPL,15.01,85,114,101,146,139,0,58,113,65,2,98
LOLTMNT01_189496,HLL,15.01,90,40,62,0,103,1,171,169,122,36,161
LOLTMNT06_95719,TCL,15.01,57,163,122,178,111,1,10,90,171,114,43
LOLTMNT01_189502,HLL,15.01,171,52,9,20,112,1,66,59,82,100,38
LOLTMNT06_95723,TCL,15.01,90,163,171,4,60,0,95,131,2,122,5
LOLTMNT01_189522,HLL,15.01,27,169,82,36,128,1,175,9,20,49,113
LOLTMNT01_189523,HW,15.01,27,54,177,114,118,1,171,178,5,40,90
LOLTMNT01_189529,HLL,15.01,163,107,111,103,114,1,95,169,122,125,71
LOLTMNT06_96750,TCL,15.01,27,191,60,36,103,1,57,90,163,122,14
LOLTMNT06_95728,LFL,15.01,90,27,57,2,122,1,13,64,8,107,4
LOLTMNT03_189909,LVP SL,15.01,171,169,32,128,122,0,60,163,14,80,4
LOLTMNT06_96747,LIT,15.01,27,82,178,139,49,0,170,122,176,112,13
LOLTMNT06_95741,NLC,15.01,145,175,43,103,40,1,169,27,125,82,14
LOLTMNT01_190509,HW,15.01,171,36,178,44,4,0,175,111,42,180,122
LOLTMNT06_96768,LFL,15.01,90,128,57,62,103,1,60,27,52,36,118
LOLTMNT03_189919,LVP SL,15.01,10,105,82,125,171,0,107,36,60,122,87
LOLTMNT06_96773,NLC,15.01,64,125,122,177,52,1,5,150,114,175,98
LOLTMNT06_96775,LIT,15.01,27,111,122,114,6,1,171,60,51,175,4
LOLTMNT06_95755,TCL,15.01,27,131,5,146,118,1,171,90,122,95,113
LOLTMNT06_95764,LFL,15.01,163,131,124,181,46,0,36,90,13,178,56
LOLTMNT03_190141,HW,15.01,175,163,90,94,1,1,10,60,191,82,146
LOLTMNT03_190143,LVP SL,15.01,163,181,131,56,118,0,90,36,14,5,122
LOLTMNT06_95768,LIT,15.01,163,60,124,169,2,1,62,170,43,115,165
LOLTMNT06_96792,NLC,15.01,27,13,54,2,103,1,163,122,111,107,90
LOLTMNT03_190157,HW,15.01,171,64,170,56,144,1,175,163,124,60,147
LOLTMNT06_96794,LFL,15.01,60,27,122,19,36,0,5,163,131,118,62
LOLTMNT03_190159,LVP SL,15.01,169,10,5,150,122,1,14,175,44,58,114
LOLTMNT06_95772,NLC,15.01,5,13,36,185,104,0,170,163,49,28,82
LOLTMNT03_189945,HW,15.01,13,178,60,59,133,0,175,57,129,36,87
LOLTMNT06_95773,NLC,15.01,141,128,181,122,95,1,163,52,49,57,20
LOLTMNT03_189948,LVP SL,15.01,169,27,147,23,122,0,111,131,5,22,20
LOLTMNT03_190195,LCKC,15.01,13,175,57,176,118,0,60,169,150,95,114
LOLTMNT03_190194,LCKC,15.01,171,163,178,114,118,1,64,104,5,54,146
LOLTMNT03_190201,LCKC,15.01,131,56,10,122,2,0,163,90,14,178,124
LOLTMNT03_190204,LCKC,15.01,131,56,150,27,103,1,170,13,44,62,4
LOLTMNT03_189997,LCKC,15.01,128,169,181,122,188,1,0,111,113,82,140
LOLTMNT03_191023,LCK,15.01,5,62,122,105,57,1,36,82,56,175,150
LOLTMNT03_191028,LCK,15.01,163,14,178,125,34,1,169,43,118,95,177
11726-11726_game_1,LPL,15.02,169,13,112,36,4,0,128,27,122,178,40
LOLTMNT03_191030,LCK,15.01,128,10,20,80,83,1,27,131,187,184,13
LOLTMNT03_191042,LCP,15.01,60,95,175,20,13,0,57,163,122,113,172
11726-11726_game_2,LPL,15.02,60,10,124,49,170,1,2,175,5,58,104
LOLTMNT03_190264,LCK,15.01,141,171,43,114,62,1,60,163,169,146,122
LOLTMNT03_190272,LCP,15.01,169,150,5,14,4,0,64,178,124,139,171
11726-11726_game_3,LPL,15.02,82,188,113,43,111,1,95,171,90,131,125
LOLTMNT03_191065,LCK,15.01,57,59,82,175,1,1,36,105,56,65,40
LOLTMNT03_191076,LCP,15.01,27,82,40,74,2,0,128,90,180,10,44
11726-11726_game_4,LPL,15.02,80,14,162,86,155,0,146,173,56,59,133
LOLTMNT03_191077,LCK,15.01,128,176,118,113,13,1,178,5,188,103,145
LOLTMNT03_191114,LCP,15.01,57,178,171,58,114,1,95,13,122,5,170
LOLTMNT06_95782,TCL,15.01,60,163,124,150,113,1,57,169,122,27,13
LOLTMNT03_191124,LCP,15.01,36,82,111,131,43,0,60,62,14,80,4
LOLTMNT06_96811,TCL,15.01,60,163,124,114,13,0,64,131,56,122,49
LOLTMNT01_192226,HW,15.02,22,185,40,103,125,1,122,171,175,59,28
LOLTMNT06_95794,TCL,15.01,64,5,124,14,131,1,95,60,122,178,78
LOLTMNT06_96823,LFL,15.01,169,5,111,59,122,1,163,175,60,14,103
LOLTMNT06_95802,LIT,15.01,49,191,114,110,181,0,175,122,90,163,111
LOLTMNT06_96829,NLC,15.01,175,62,146,118,0,1,36,6,40,122,110
LOLTMNT01_192236,HW,15.02,191,36,103,57,171,0,27,82,66,58,30
LOLTMNT06_96834,TCL,15.01,95,122,5,178,14,1,131,10,128,118,150
LOLTMNT01_191260,HW,15.02,163,122,1,47,0,1,10,128,169,20,84
LOLTMNT06_95808,LIT,15.01,170,112,176,14,122,1,169,125,59,171,86
LOLTMNT06_96840,LFL,15.01,90,171,64,57,124,1,27,178,14,43,104
LOLTMNT06_96841,NLC,15.01,128,163,122,178,14,1,175,36,4,112,2
LOLTMNT06_96848,LIT,15.01,64,60,122,175,14,1,163,90,15,1,45
LOLTMNT01_192294,HW,15.02,163,175,113,111,122,1,36,90,5,118,34
LOLTMNT06_96849,LFL,15.01,90,64,124,43,147,1,163,60,169,114,171
LOLTMNT06_95811,NLC,15.01,169,13,118,59,5,1,57,90,103,36,2
LOLTMNT01_191298,HW,15.02,163,173,172,110,82,1,27,170,49,20,23
LOLTMNT06_96854,LFL,15.01,27,175,128,4,111,0,60,163,52,103,146
11727-11727_game_1,LPL,15.02,60,95,122,170,13,1,5,57,191,188,103
LOLTMNT03_191178,LCK,15.01,57,36,14,178,114,0,163,128,181,105,90
11727-11727_game_2,LPL,15.02,128,169,181,36,20,0,27,178,40,163,34
LOLTMNT03_191179,LCK,15.01,64,104,131,43,150,1,124,175,1,56,76
LOLTMNT01_192462,LJL,15.02,163,57,103,170,1,1,5,131,171,20,95
LOLTMNT01_192465,LJL,15.02,13,170,103,163,25,0,90,147,175,20,62
11727-11727_game_3,LPL,15.02,107,59,2,114,4,0,113,176,56,14,15
LOLTMNT03_190416,LCK,15.01,5,74,40,188,122,1,60,59,20,170,146
LOLTMNT01_192508,LJL,15.02,95,169,122,40,57,1,13,131,163,103,5
LOLTMNT01_192507,LJL,15.02,13,5,107,27,118,1,64,90,40,139,191
LOLTMNT01_191475,LJL,15.02,170,40,60,163,103,1,13,95,90,16,139
LOLTMNT01_192511,LJL,15.02,13,5,163,178,118,1,171,131,139,176,82
LOLTMNT01_192517,LJL,15.02,90,62,116,20,175,0,163,131,5,124,46
LOLTMNT01_191488,LJL,15.02,128,131,181,36,20,1,40,169,150,59,122
LOLTMNT01_191492,LJL,15.02,95,56,122,131,146,0,163,60,20,83,27
LOLTMNT01_192522,LJL,15.02,60,131,62,20,146,1,59,175,13,112,86
LOLTMNT01_192526,LJL,15.02,10,125,124,170,1,0,5,163,191,175,49
LOLTMNT03_190434,LCK,15.01,60,27,14,118,80,1,10,20,43,171,175
11728-11728_game_1,LPL,15.02,57,191,27,62,90,0,103,5,66,36,181
LOLTMNT01_192524,LJL,15.02,90,169,1,95,118,0,128,163,175,40,103
LOLTMNT01_192528,LJL,15.02,169,1,95,60,90,0,175,150,176,4,112
LOLTMNT01_192530,LJL,15.02,64,40,124,19,181,1,128,10,20,175,1
LOLTMNT03_190436,LCK,15.01,5,178,13,62,103,0,114,169,40,36,122
LOLTMNT01_191513,LCP,15.02,141,163,5,122,14,0,60,10,19,155,115
11728-11728_game_2,LPL,15.02,64,124,107,2,112,1,163,104,175,161,14
LOLTMNT01_191514,LJL,15.02,150,27,90,54,118,1,163,60,170,49,82
LOLTMNT01_192554,LCP,15.02,131,56,181,27,4,0,13,95,170,161,118
LOLTMNT06_96867,LFL2,15.01,27,178,103,146,128,0,163,122,56,6,5
11728-11728_game_3,LPL,15.02,10,74,40,56,4,0,169,95,122,145,44
LOLTMNT06_95831,LFL2,15.01,141,114,36,82,150,1,5,122,111,62,110
